{'rssi': -68, 'no': 1, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:07.772772', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -79, 'no': 2, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:07.871691', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -50, 'no': 3, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:08.511670', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -81, 'no': 4, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:08.513350', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -54, 'no': 5, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:10.228946', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -74, 'no': 6, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:18.773901', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -71, 'no': 7, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:18.840057', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -65, 'no': 8, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:19.547680', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -67, 'no': 9, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:19.870296', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -84, 'no': 10, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:20.849931', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -92, 'no': 11, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:21.389317', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -84, 'no': 12, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:21.925807', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -94, 'no': 13, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:29.979575', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -85, 'no': 14, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:30.130252', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -98, 'no': 15, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:30.131868', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -84, 'no': 16, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:32.275088', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -68, 'no': 17, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:40.867993', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -82, 'no': 18, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:42.087717', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -82, 'no': 19, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:43.068515', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -98, 'no': 20, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:43.974045', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -87, 'no': 21, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:43.975580', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -97, 'no': 22, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:48.069188', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -95, 'no': 23, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:40:51.932794', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -85, 'no': 24, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:03.758281', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -73, 'no': 25, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:04.848745', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -96, 'no': 26, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:06.456500', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -96, 'no': 27, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:06.458127', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -92, 'no': 28, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:10.414068', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -68, 'no': 29, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:14.195921', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -83, 'no': 30, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:14.276859', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -95, 'no': 31, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:15.657444', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -83, 'no': 32, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:18.957544', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -87, 'no': 33, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:18.959178', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -91, 'no': 34, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:22.226117', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -76, 'no': 35, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:25.262224', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -67, 'no': 36, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:25.525863', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -85, 'no': 37, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:27.511153', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -67, 'no': 38, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:27.512688', 'device_id': 'e2:01:00:02:44:40'}
